"","Type","LONGITUDE","LATITUDE"
"433","crash ",-87.810412969,41.997234117
"434","crash ",-87.810374168,42.01772235
"435","crash ",-87.810349087,41.997257058
"436","crash ",-87.810332033,41.938099411
"437","crash ",-87.810331907,41.937879877
"438","crash ",-87.810195236,41.998896417
"439","crash ",-87.810157163,42.011734057
"440","crash ",-87.810103525,41.997248651
"441","crash ",-87.810009144,41.999066493
"442","crash ",-87.810002945,41.952590521
"443","crash ",-87.809998493,42.011518839
"444","crash ",-87.809861207,41.952769719
"445","crash ",-87.809861207,41.952769719
"446","crash ",-87.80977679,41.952596869
"447","crash ",-87.80977679,41.952596869
"448","crash ",-87.80977679,41.952596869
"449","crash ",-87.80977679,41.952596869
"450","crash ",-87.809762886,41.980532051
"451","crash ",-87.809650955,41.952600642
"452","crash ",-87.80958569,41.974588221
"453","crash ",-87.809486202,41.945324313
"454","crash ",-87.809462569,41.974591362
"455","crash ",-87.809362877,41.947670687
"456","crash ",-87.809357326,41.945106937
"457","crash ",-87.809354429,41.984211656
"458","crash ",-87.809352417,41.939067403
"459","crash ",-87.809294528,42.005253348
"460","crash ",-87.809276219,41.945292158
"461","crash ",-87.809237267,41.937882582
"462","crash ",-87.809233731,41.9381021
"463","crash ",-87.809169397,41.982814724
"464","crash ",-87.809165694,42.011761011
"465","crash ",-87.809048265,41.952619443
"466","crash ",-87.808870848,41.998371585
"467","crash ",-87.808616063,41.981383984
"468","crash ",-87.808540073,41.950375838
"469","crash ",-87.808524045,41.981592503
"470","crash ",-87.808431188,41.97461823
"471","crash ",-87.808417141,41.934591071
"472","crash ",-87.808409342,41.952635464
"473","crash ",-87.808346517,41.997769052
"474","crash ",-87.8082666,41.997354044
"475","crash ",-87.808219972,41.997975289
"476","crash ",-87.808156496,41.945350713
"477","crash ",-87.808147971,41.945131272
"478","crash ",-87.808147971,41.945131272
"479","crash ",-87.808128527,41.947015754
"480","crash ",-87.808101441,41.997903306
"481","crash ",-87.807981099,41.97462951
"482","crash ",-87.807962699,41.939899734
"483","crash ",-87.807908181,41.952648583
"484","crash ",-87.807889368,41.997491427
"485","crash ",-87.807876715,41.993439733
"486","crash ",-87.807855474,41.997725262
"487","crash ",-87.807838922,41.938808073
"488","crash ",-87.807817622,41.938099751
"489","crash ",-87.807816868,41.938193922
"490","crash ",-87.807815425,41.937880224
"491","crash ",-87.807815425,41.937880224
"492","crash ",-87.807789619,42.011578449
"493","crash ",-87.807740796,41.997523083
"494","crash ",-87.807731342,41.937880693
"495","crash ",-87.807635747,42.017777458
"496","crash ",-87.807448547,41.945144462
"497","crash ",-87.807408096,42.011807388
"498","crash ",-87.807395209,41.93788228
"499","crash ",-87.807394858,41.952200281
"500","crash ",-87.807377064,41.951708837
"501","crash ",-87.807352267,41.950948499
"502","crash ",-87.807347168,41.950755392
"503","crash ",-87.807331324,41.952655406
"504","crash ",-87.807331324,41.952655406
"505","crash ",-87.807329865,42.011809303
"506","crash ",-87.807264371,41.950833611
"507","crash ",-87.807263559,41.94840942
"508","crash ",-87.807240622,41.947788636
"509","crash ",-87.807240622,41.947788636
"510","crash ",-87.807215994,41.974645764
"511","crash ",-87.807214741,41.974584327
"512","crash ",-87.807214741,41.974584327
"513","crash ",-87.807214741,41.974584327
"514","crash ",-87.80720624,41.946795567
"515","crash ",-87.807190949,41.946363068
"516","crash ",-87.807184681,41.946192224
"517","crash ",-87.807164699,41.976681262
"518","crash ",-87.807164699,41.976681262
"519","crash ",-87.807145409,41.978238618
"520","crash ",-87.807145409,41.978238618
"521","crash ",-87.807145409,41.978238618
"522","crash ",-87.807143727,41.95083655
"523","crash ",-87.807132374,41.979218418
"524","crash ",-87.80713141,41.944719164
"525","crash ",-87.807129504,41.952929589
"526","crash ",-87.807129483,41.94466354
"527","crash ",-87.807129483,41.94466354
"528","crash ",-87.80712789,41.974647998
"529","crash ",-87.80712789,41.974647998
"530","crash ",-87.80712789,41.974647998
"531","crash ",-87.807124595,41.952823135
"532","crash ",-87.807119299,41.952698312
"533","crash ",-87.807110848,41.952479279
"534","crash ",-87.807101534,41.968379928
"535","crash ",-87.807094743,41.952042407
"536","crash ",-87.807089166,41.982815203
"537","crash ",-87.807089166,41.982815203
"538","crash ",-87.807089166,41.982815203
"539","crash ",-87.807089166,41.982815203
"540","crash ",-87.807076946,41.98400625
"541","crash ",-87.807073166,41.984581606
"542","crash ",-87.807060123,41.985995615
"543","crash ",-87.807060123,41.985995615
"544","crash ",-87.807060123,41.985995615
"545","crash ",-87.807060123,41.985995615
"546","crash ",-87.807059633,41.986047443
"547","crash ",-87.807053005,41.986617466
"548","crash ",-87.807045429,41.950582049
"549","crash ",-87.807040477,41.987861391
"550","crash ",-87.807035684,41.988379656
"551","crash ",-87.807034072,41.953855946
"552","crash ",-87.807018402,41.990101454
"553","crash ",-87.807018402,41.990101454
"554","crash ",-87.807018402,41.990101454
"555","crash ",-87.807008618,41.968310408
"556","crash ",-87.806999764,41.968380998
"557","crash ",-87.806997368,41.981238161
"558","crash ",-87.806997368,41.981238161
"559","crash ",-87.806995508,41.940865239
"560","crash ",-87.806979885,41.940434551
"561","crash ",-87.806974802,41.994510173
"562","crash ",-87.806974464,41.974439535
"563","crash ",-87.806965027,41.995412084
"564","crash ",-87.806965027,41.995412084
"565","crash ",-87.806961906,41.939896054
"566","crash ",-87.806961054,41.948189808
"567","crash ",-87.806956104,41.996031287
"568","crash ",-87.806951584,41.996595302
"569","crash ",-87.806948983,41.975384609
"570","crash ",-87.806948983,41.975384609
"571","crash ",-87.806948983,41.975384609
"572","crash ",-87.80694863,41.99693256
"573","crash ",-87.806947715,41.997018918
"574","crash ",-87.806947715,41.997018918
"575","crash ",-87.806946647,41.947794307
"576","crash ",-87.806945192,41.996923702
