"","POSTED_SPEED_LIMIT","STREET_NAME","LATITUDE","LONGITUDE","Type","regions","distances"
"145",30,"CENTRAL AVE",41.923378415,-87.766115608,"crash","041","0.2"
"146",30,"JEFFERY BLVD",41.764287679,-87.576113486,"crash","101","0.4"
"147",25,"SACRAMENTO DR",41.859334847,-87.701590997,"crash","021","0.3"
"148",35,"35TH ST",41.830917284,-87.624888142,"crash","117","2.6"
"149",30,"MONTEREY AVE",41.691913571,-87.670018446,"crash","023","0.6"
"150",30,"CENTRAL AVE",41.970954314,-87.767435896,"crash","102","0.4"
"151",30,"CICERO AVE",41.735736834,-87.740793762,"crash","072","2.6"
"152",30,"ASHLAND AVE",41.729082289,-87.662721072,"crash","168","1.4"
"153",25,"CERMAK RD",41.852602626,-87.656327186,"crash","143","0.7"
"154",30,"111TH ST",41.692476323,-87.622841917,"crash","035","3.2"
"155",0,"LINCOLN AVE",41.927444411,-87.65134313,"crash","091","1.8"
"156",30,"WASHINGTON BLVD",41.881954887,-87.742997584,"crash","107","2.2"
"157",30,"CENTRAL AVE",41.945833926,-87.766607422,"crash","050","0.8"
"158",30,"DAMEN AVE",42.01495304,-87.680338632,"crash","051","1.9"
"159",30,"WESTERN AVE",41.857262743,-87.685644567,"crash","135","0.4"
"160",30,"WENTWORTH AVE",41.685388542,-87.627546202,"crash","045","2.5"
"161",30,"MAPLEWOOD AVE",41.691658564,-87.684714628,"crash","165","1.6"
"162",30,"ARCHER AVE",41.816014871,-87.701339666,"crash","007","2"
"163",30,"HALSTED ST",41.75599579,-87.644328239,"crash","136","1.1"
"164",0,"LAWRENCE AVE",41.968497462,-87.689671003,"crash","094","0.6"
"165",30,"OGDEN AVE",41.865180498,-87.685297971,"crash","135","1.2"
"166",30,"HALSTED ST",41.888275103,-87.647408709,"crash","077","1.9"
"167",0,"VINCENNES AVE",41.743385941,-87.636416135,"crash","137","1.4"
"168",25,"15TH ST",41.861313788,-87.668778023,"crash","143","1.1"
"169",30,"WELLS ST",41.882616229,-87.63370244,"crash","034","1.1"
"170",30,"WELLS ST",41.889198022,-87.634157297,"crash","131","0.9"
"171",30,"FOSTER AVE",41.975771038,-87.781841912,"crash","158","1.2"
"172",25,"MONTROSE AVE",41.961198633,-87.68913673,"crash","094","0.1"
"173",30,"COTTAGE GROVE AVE",41.762136277,-87.60563349,"crash","148","2.2"
"174",30,"BIRCHWOOD AVE",42.018083989,-87.666543188,"crash","093","3.2"
"175",30,"SOUTH CHICAGO AVE",41.756736099,-87.593070955,"crash","138","1.6"
"176",30,"PULASKI RD",41.794957445,-87.723356565,"crash","060","0"
"177",35,"AVONDALE AVE",41.997078767,-87.810520799,"crash","158","2.6"
"178",30,"HALSTED ST",41.883643954,-87.647267379,"crash","077","1.8"
"179",30,"COTTAGE GROVE AVE",41.707405118,-87.606672215,"crash","035","2.2"
"180",30,"31ST ST",41.837987289,-87.642067066,"crash","117","0.5"
"181",30,"VINCENNES AVE",41.756211883,-87.632130542,"crash","063","0.1"
"182",30,"KEDZIE AVE",41.79093407,-87.703336244,"crash","164","0.1"
"183",30,"63RD ST",41.777517617,-87.796096747,"crash","061","8.1"
"184",30,"PULASKI RD",41.831253843,-87.724376832,"crash","030","3"
"185",30,"ADDISON ST",41.946220272,-87.748022165,"crash","086","0.9"
"186",30,"KEDZIE AVE",41.895615314,-87.706705325,"crash","011","0.4"
"187",30,"CALIFORNIA AVE",41.830257027,-87.6946531,"crash","007","1.3"
"188",30,"NATCHEZ AVE",41.91908563,-87.787605659,"crash","039","0.7"
"189",30,"127TH ST",41.663872385,-87.625374108,"crash","045","0.9"
"190",30,"LINCOLN AVE",41.926240849,-87.649662645,"crash","091","2"
"191",30,"ARCHER AVE",41.826040017,-87.6849674,"crash","007","0.2"
"192",30,"DR MARTIN LUTHER KING JR DR",41.823983252,-87.616853891,"crash","013","3.1"
"193",30,"131ST ST",41.657432435,-87.606496232,"crash","045","3"
"194",30,"CORNELIA AVE",41.944976221,-87.674068786,"crash","172","0.9"
